company,job_title,location,job_link
Sony India Software Centre,Jr. Python Developer,"Bengaluru, Karnataka, India",URL = https://in.linkedin.com/jobs/view/jr-python-developer-at-sony-india-software-centre-3643235677?refId=t4USM7FFp%2FX5vT9d5C%2BLEw%3D%3D&trackingId=MwCHI3x1lg9IqKL6fGbtJQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Omie,Desenvolvedor(a) (Python),"São Paulo, São Paulo, Brazil",URL = https://br.linkedin.com/jobs/view/desenvolvedor-a-python-at-omie-3713626274?refId=t4USM7FFp%2FX5vT9d5C%2BLEw%3D%3D&trackingId=LZXgMhjlzmKxtarnc%2Bs2qg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Ideas2IT Technologies,Python Developer,"Chennai, Tamil Nadu, India",URL = https://in.linkedin.com/jobs/view/python-developer-at-ideas2it-technologies-3627624375?refId=t4USM7FFp%2FX5vT9d5C%2BLEw%3D%3D&trackingId=F5LN%2Fg5xUEOvmGdmkDzzMg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Infosys,Python Senior Developer,"Bhubaneswar, Odisha, India",URL = https://in.linkedin.com/jobs/view/python-senior-developer-at-infosys-3649505973?refId=t4USM7FFp%2FX5vT9d5C%2BLEw%3D%3D&trackingId=CnSpFKtz2v34oWHU4rDTFg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
CN Solutions,python Developer,"Bengaluru, Karnataka, India",URL = https://in.linkedin.com/jobs/view/python-developer-at-cn-solutions-3707650519?refId=t4USM7FFp%2FX5vT9d5C%2BLEw%3D%3D&trackingId=z5flhh018pcbi%2FqfYrG8Jg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Acme Services,Python Developer,"Mumbai, Maharashtra, India",URL = https://in.linkedin.com/jobs/view/python-developer-at-acme-services-3683859967?refId=t4USM7FFp%2FX5vT9d5C%2BLEw%3D%3D&trackingId=04angBzGvwPtgRVUawDydQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
AARK INFOSOFT PVT LTD,Python Developer,"Ahmedabad, Gujarat, India",URL = https://in.linkedin.com/jobs/view/python-developer-at-aark-infosoft-pvt-ltd-3626765968?refId=t4USM7FFp%2FX5vT9d5C%2BLEw%3D%3D&trackingId=Z7PgmZPsxg6R4ZbAwQkggA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Perlego,Software Engineer (Python),"London, England, United Kingdom",URL = https://uk.linkedin.com/jobs/view/software-engineer-python-at-perlego-3689940133?refId=t4USM7FFp%2FX5vT9d5C%2BLEw%3D%3D&trackingId=jab%2BmiJmqLIV7LYOxFLCOA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
CN Solutions,python Developer,"Pune, Maharashtra, India",URL = https://in.linkedin.com/jobs/view/python-developer-at-cn-solutions-3707652018?refId=t4USM7FFp%2FX5vT9d5C%2BLEw%3D%3D&trackingId=k4%2FpuUzIX8bVTQJneQ%2F8lQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
[x]cube LABS,Python Developer,"Hyderabad, Telangana, India",URL = https://in.linkedin.com/jobs/view/python-developer-at-x-cube-labs-3627613378?refId=t4USM7FFp%2FX5vT9d5C%2BLEw%3D%3D&trackingId=jk2sthSep7WAOEjAiZlnhA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
In Time Tec,Python Developer,"Jaipur, Rajasthan, India",URL = https://in.linkedin.com/jobs/view/python-developer-at-in-time-tec-3677778972?refId=t4USM7FFp%2FX5vT9d5C%2BLEw%3D%3D&trackingId=47%2FLm981mWE0DcCoHPvSZQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Fime,Software Developer - Python API,"Bengaluru, Karnataka, India",URL = https://in.linkedin.com/jobs/view/software-developer-python-api-at-fime-3650954252?refId=t4USM7FFp%2FX5vT9d5C%2BLEw%3D%3D&trackingId=Z4YU0odOuLppF965Twr5ww%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
